	featureCounts on dataset 110 and 121: egtBmutant	featureCounts on dataset 109 and 121: egtBmutant 2	featureCounts on dataset 108 and 121: egtBmutant3	featureCounts on dataset 113 and 121: wildtype 1	featureCounts on dataset 112 and 121: wildtype 2	featureCounts on dataset 111 and 121: wildtype 3
gene-BTH_RS14830	82.9032814446423	82.1117455554372	92.679543239772	80.0431209355356	68.6039303904808	61.2803321492763
gene-BTH_RS14840	72.2993733528857	56.2286953260059	56.4136350155134	79.0787459845051	26.1348306249451	85.3547483507777
gene-BTH_RS14845	28.9197493411543	24.098012282574	24.1772721495058	36.6462481391609	15.2453178645513	32.8287493656837
gene-BTH_RS14850	33.73970756468	38.3783158574326	28.2068175077567	58.8268720128635	38.1132946613782	45.9602491119572
gene-BTH_RS14855	32.7757159199749	37.4857968840039	38.2806809033841	59.7912469638941	34.8464408332601	67.8460820224131
gene-BTH_RS14860	0	0.892518973428665	0	0.96437495103055	1.08895127603938	1.09429164552279
gene-BTH_RS31060	0	0	0	0	0	0
gene-BTH_RS14865	39.5236574329109	39.2708348308613	36.2659082242586	202.518739716415	205.811791171442	177.275246574692
gene-BTH_RS14870	26.991766051744	25.8830502294313	26.1920448286312	81.9718708375967	69.6928816665202	64.5632070858447
gene-BTH_RS14875	124.354922166963	108.887314758297	108.797724672776	270.989361239584	275.504672837962	259.347119988902
gene-BTH_RS14880	80.0113065105269	53.5511384057199	62.4579530528899	212.162489226721	201.455986067285	204.632537712762
gene-BTH_RS14885	3.85596657882057	0.892518973428665	0	3.8574998041222	7.62265893227564	5.47145822761396
gene-BTH_RS14890	0	0	0	0	0	1.09429164552279
gene-BTH_RS14895	0.963991644705143	0	0	3.8574998041222	3.26685382811813	1.09429164552279
gene-BTH_RS14900	0	0	1.00738633956274	11.5724994123666	6.53370765623626	5.47145822761396
gene-BTH_RS14905	0	0	0	0	0	0
gene-BTH_RS14910	33.73970756468	41.9483917511472	38.2806809033841	311.493109182868	321.240626431616	231.989828850832
gene-BTH_RS14915	48.1995822352572	47.3035055917192	41.3028399220723	206.376239520538	228.679767968269	242.93274530606
gene-BTH_RS14920	38.5596657882057	39.2708348308613	29.2142038473194	96.437495103055	104.53932249978	101.76912303362
gene-BTH_RS14925	48.1995822352572	49.0885435385766	43.3176126011978	135.012493144277	140.47471460908	155.389413664236
gene-BTH_RS14930	48.1995822352572	30.3456450965746	30.2215901868822	43.3968727963747	17.42322041663	44.8659574664345
