geneID	Base mean	log2(FC)	STDERR	Waldstats	P-value	P-adjust	
gene-J2S48_RS14390	89.74333945	1.264897503	0.456913099	2.768354649	0.005634011	0.016310695	
gene-J2S48_RS19465	1717.51782	1.267754585	0.274521746	4.618047943	3.87E-06	2.56E-05	
gene-J2S48_RS06405	188.0379796	1.268104684	0.44987676	2.818782379	0.004820619	0.01438384	
gene-J2S48_RS13130	91.93211368	1.272866039	0.465784454	2.732736199	0.006281062	0.017844736	
gene-J2S48_RS13365	6138.349802	1.273343749	0.426734323	2.983926253	0.002845754	0.009062431	
gene-J2S48_RS19775	3981.391215	1.276032303	0.263597787	4.840830869	1.29E-06	9.52E-06	
gene-J2S48_RS22280	485.4043534	1.277717065	0.33403636	3.825083789	0.000130728	0.000608961	
gene-J2S48_RS16905	177.0383696	1.284764099	0.432431142	2.971025845	0.002968068	0.009423863	
gene-J2S48_RS11540	86.08848834	1.290262699	0.471064792	2.739034462	0.006161991	0.017536225	
gene-J2S48_RS00380	1094.632673	1.294865728	0.300929088	4.302893204	1.69E-05	9.74E-05	
gene-J2S48_RS18705	307.1888042	1.298721792	0.380870862	3.409874375	0.000649928	0.002504618	
MSTRG.34.1	240.0759273	1.30685792	0.334165021	3.910816028	9.20E-05	0.000446911	
MSTRG.69.1	988.6407851	1.312127135	0.324959788	4.037813854	5.40E-05	0.000275336	
gene-J2S48_RS00445	634.5777392	1.314671058	0.377268768	3.484706844	0.000492677	0.001981453	
gene-J2S48_RS07430	1542.156383	1.315986186	0.29322568	4.487963618	7.19E-06	4.42E-05	
MSTRG.1128.1	10311.24584	1.321460229	0.321819109	4.106220524	4.02E-05	0.00021314	
gene-J2S48_RS07695	282.0373204	1.323276479	0.417874118	3.166686858	0.001541863	0.005279711	
MSTRG.1773.1	4087.452073	1.323395766	0.456782164	2.897214188	0.003764926	0.011589224	
gene-J2S48_RS24135	391.6795562	1.323471411	0.364044142	3.635469597	0.000277475	0.001198513	
gene-J2S48_RS16755	6126.928224	1.323726582	0.361564561	3.661107103	0.000251128	0.001102382	
gene-J2S48_RS07640	326.1862348	1.323788982	0.366382467	3.613134091	0.000302518	0.001289198	
gene-J2S48_RS08430	818.7153831	1.324437956	0.320594016	4.131199862	3.61E-05	0.000192119	
gene-J2S48_RS11315	406.3684026	1.325423807	0.33119821	4.001905098	6.28E-05	0.000314442	
gene-J2S48_RS18805	406.7108122	1.328946978	0.331224251	4.012227293	6.01E-05	0.000302296	
MSTRG.96.1	253.5599959	1.331003679	0.37287463	3.56957425	0.000357562	0.001494677	
gene-J2S48_RS05595	251.3316384	1.338127931	0.403606329	3.315428509	0.000915027	0.003381161	
gene-J2S48_RS09805	116.3734015	1.338281989	0.501093035	2.670725587	0.007568749	0.020959154	
gene-J2S48_RS16260	1226.728033	1.339431804	0.313447298	4.2732281	1.93E-05	0.000110278	
MSTRG.181.1	78.50584671	1.340321069	0.480980134	2.786645385	0.005325672	0.015677168	
gene-J2S48_RS17405	1457.903893	1.342299561	0.352876739	3.803876574	0.000142449	0.00065918	
gene-J2S48_RS08435	1276.661406	1.346082514	0.289910119	4.6431029	3.43E-06	2.30E-05	
gene-J2S48_RS20540	98.14033576	1.351637794	0.472359489	2.861460021	0.004216947	0.012767472	
gene-J2S48_RS04145	84.18677503	1.354684029	0.520336322	2.603477732	0.009228326	0.025001413	
gene-J2S48_RS08350	998.6167992	1.358956674	0.38940259	3.489850118	0.000483292	0.001953948	
gene-J2S48_RS23885	799.2990296	1.365352342	0.478042415	2.856132218	0.004288365	0.012927834	
gene-J2S48_RS24725	3664.829339	1.366928982	0.287073277	4.761603019	1.92E-06	1.35E-05	
gene-J2S48_RS15975	2905.223907	1.3673866	0.349925882	3.907646359	9.32E-05	0.000452186	
gene-J2S48_RS14590	1658.349131	1.367406521	0.34186651	3.999825895	6.34E-05	0.000316313	
gene-J2S48_RS13400	2127.892277	1.373637507	0.28580863	4.80614427	1.54E-06	1.11E-05	
MSTRG.644.1	3656.603868	1.374220696	0.32078773	4.283894205	1.84E-05	0.000105463	
gene-J2S48_RS08335	229.8614014	1.375902167	0.438855969	3.135202128	0.001717357	0.00582372	
gene-J2S48_RS14500	6896.203884	1.390710697	0.40262866	3.454077753	0.000552178	0.002178243	
gene-J2S48_RS07765	622.4732845	1.397085189	0.384525275	3.633272713	0.000279849	0.001207279	
gene-J2S48_RS21950	1307.875363	1.397091683	0.290143972	4.815167016	1.47E-06	1.06E-05	
gene-J2S48_RS01490	143.0913448	1.39926862	0.505390282	2.76868921	0.005628229	0.016307434	
gene-J2S48_RS12150	516.2762632	1.401122559	0.315511243	4.440800735	8.96E-06	5.43E-05	
gene-J2S48_RS12900	256.0259405	1.401837316	0.361159244	3.881493662	0.000103817	0.000496818	
gene-J2S48_RS08670	57.73195479	1.402113982	0.535844634	2.616642757	0.008879922	0.024091167	
gene-J2S48_RS13125	7309.305109	1.403563229	0.364292529	3.852846592	0.000116753	0.000547502	
gene-J2S48_RS20340	77.02664721	1.408065105	0.525706786	2.678422922	0.007396975	0.020564766	
gene-J2S48_RS23065	91.05944813	1.415158817	0.452879061	3.124805143	0.001779229	0.005987165	
gene-J2S48_RS18925	673.8576155	1.419321418	0.311168764	4.561259299	5.08E-06	3.26E-05	
gene-J2S48_RS12000	2524.847554	1.420103943	0.398721265	3.561645857	0.000368537	0.001535061	
MSTRG.184.1	344.3630908	1.424211901	0.564389637	2.523455088	0.01162079	0.030446992	
gene-J2S48_RS05670	143.0610648	1.426302239	0.464067251	3.073481775	0.002115766	0.006998611	
gene-J2S48_RS22295	436.8254498	1.42659371	0.409532999	3.483464616	0.000494969	0.001986111	
MSTRG.1883.1	926.2610128	1.435363626	0.366724244	3.914013459	9.08E-05	0.000441644	
gene-J2S48_RS15405	457.4360506	1.435423895	0.386561187	3.713316141	0.000204561	0.000919868	
gene-J2S48_RS13360	317.0208144	1.437956346	0.403989006	3.559394748	0.00037171	0.001544605	
gene-J2S48_RS20350	1690.4368	1.43970851	0.332733095	4.326917069	1.51E-05	8.89E-05	
gene-J2S48_RS15745	103.8449907	1.44099432	0.506021158	2.847695784	0.0044037	0.013218646	
MSTRG.792.1	698.4640608	1.446282158	0.328268211	4.405794127	1.05E-05	6.32E-05	
gene-J2S48_RS06935	242.1648138	1.446460428	0.40703691	3.55363455	0.000379947	0.001575093	
gene-J2S48_RS17370	609.8534121	1.448889717	0.40692308	3.56059852	0.00037001	0.001539367	
gene-J2S48_RS05160	95.30818349	1.449494969	0.482429274	3.004575072	0.002659521	0.008531413	
MSTRG.2783.1	210.7710089	1.452801513	0.394565044	3.682033	0.000231381	0.001025986	
gene-J2S48_RS04585	979.1660767	1.455050246	0.307483916	4.732118237	2.22E-06	1.53E-05	
gene-J2S48_RS01840	112.446696	1.456153059	0.454431997	3.20433655	0.001353741	0.004705812	
gene-J2S48_RS14510	12301.68222	1.456524494	0.358675959	4.060836685	4.89E-05	0.000253587	
MSTRG.1169.1	1016.645174	1.457327181	0.312552581	4.662662448	3.12E-06	2.12E-05	
gene-J2S48_RS14830	259.8270236	1.461431664	0.369291153	3.957396904	7.58E-05	0.000372789	
gene-J2S48_RS04790	1143.982089	1.468117149	0.277533728	5.289869298	1.22E-07	1.08E-06	
gene-J2S48_RS22350	89.80133605	1.469528041	0.528559768	2.780249522	0.005431714	0.01590911	
rna-J2S48_RS09300	361.3268187	1.469558171	0.581294862	2.528077002	0.011468919	0.03011666	
gene-J2S48_RS12135	672.29487	1.469754847	0.297299039	4.943691892	7.67E-07	5.89E-06	
gene-J2S48_RS09365	654.2249154	1.472118612	0.280303974	5.251864941	1.51E-07	1.32E-06	
MSTRG.194.1	216.6157864	1.473751888	0.518790761	2.84074428	0.004500839	0.013487116	
gene-J2S48_RS24140	440.849158	1.477647758	0.473886373	3.118147816	0.001819915	0.006100634	
gene-J2S48_RS19725	154.7651073	1.484952278	0.501306061	2.962167015	0.00305482	0.009666699	
MSTRG.3176.1	8561.945853	1.486776986	0.265143481	5.607443109	2.05E-08	2.08E-07	
gene-J2S48_RS11150	887.813326	1.492557704	0.281573418	5.300776303	1.15E-07	1.04E-06	
gene-J2S48_RS15000	661.6743984	1.497424449	0.441907715	3.388545615	0.000702643	0.002675391	
MSTRG.3175.1	191.9297662	1.498817256	0.438646667	3.416912445	0.000633356	0.002446139	
gene-J2S48_RS12750	2339.984466	1.499720024	0.282505094	5.308647729	1.10E-07	9.95E-07	
gene-J2S48_RS07340	377.5593016	1.499798363	0.423011578	3.545525563	0.000391831	0.001616707	
MSTRG.3190.1	455.2881431	1.504092323	0.407588155	3.690225792	0.000224055	0.000997287	
MSTRG.2093.1	166.2497912	1.504245245	0.41248104	3.64682276	0.000265503	0.00116112	
gene-J2S48_RS14445	916.8293788	1.508324227	0.327548732	4.60488495	4.13E-06	2.71E-05	
gene-J2S48_RS04495	400.6816659	1.510299869	0.433537987	3.483662131	0.000494603	0.001986111	
gene-J2S48_RS02810	64.90664975	1.510925113	0.519296403	2.90956206	0.003619355	0.011200178	
gene-J2S48_RS04050	176.5785328	1.511044117	0.46156213	3.273761035	0.001061263	0.003824696	
gene-J2S48_RS21975	72.68122126	1.512906515	0.498975458	3.032025907	0.002429184	0.007895332	
gene-J2S48_RS10660	496.1419872	1.518302768	0.411900196	3.68609382	0.000227722	0.001012324	
gene-J2S48_RS21785	629.5060728	1.52267822	0.317938599	4.789221024	1.67E-06	1.20E-05	
MSTRG.2813.1	78.87703824	1.524189252	0.539993695	2.822605648	0.004763512	0.0142377	
MSTRG.1579.1	232.2549882	1.52434799	0.41834936	3.643720146	0.000268726	0.001172286	
gene-J2S48_RS01605	116.7354608	1.524986157	0.414591425	3.678286777	0.000234806	0.001039855	
gene-J2S48_RS11010	355.4675128	1.526558269	0.361353586	4.224555474	2.39E-05	0.000134401	
gene-J2S48_RS20835	206.2012275	1.526690957	0.472178432	3.233292441	0.001223722	0.00430824	
MSTRG.3174.1	284.6221283	1.5363692	0.328904986	4.671164218	2.99E-06	2.04E-05	
MSTRG.327.1	42.21761726	1.537482018	0.616056914	2.495681783	0.012571532	0.032548468	
