geneID	Base mean	log2(FC)	STDERR	Waldstats	P-value	P-adjust
rna-J2S48_RS15025	361.276000460169	5.07269757352892	0.509216393698792	9.96177192309619	2.2403365028182e-23	1.79501113026966e-21
gene-J2S48_RS14920	19708.3142465184	2.76545431348273	0.277820368741692	9.95410929014336	2.41979985363156e-23	1.88367975272697e-21
MSTRG.1298.1	2743.75881960794	3.69432772655775	0.371610101803129	9.94140823576136	2.7491287481224e-23	2.04897829886654e-21
gene-J2S48_RS13770	59093.2245727178	4.35577239385468	0.438109862604351	9.94219205192444	2.72757838926514e-23	2.04897829886654e-21
gene-J2S48_RS17750	1882.48824569755	-2.96110250255812	0.299426502952796	-9.88924652078954	4.6350329089494e-23	3.38260839167703e-21
gene-J2S48_RS13785	2684.75036691384	-3.1152041385195	0.316786370012315	-9.83376948445854	8.05462132833605e-23	5.75823234962473e-21
gene-J2S48_RS00400	1144.56700871318	-3.38450485606535	0.345386966752068	-9.79916783743282	1.13516966909828e-22	7.95299870170253e-21
gene-J2S48_RS21140	613.00907364002	-3.5779750351878	0.367544791533401	-9.7347999961051	2.14238721727311e-22	1.47152596511916e-20
gene-J2S48_RS07055	359.65955584202	3.20302977542999	0.331330534338821	9.66717354264291	4.15700280089646e-22	2.80038092529621e-20
gene-J2S48_RS13310	574.031072679435	-3.73133749661318	0.389615286033289	-9.57697921609362	9.99247622434218e-22	6.60446117242843e-20
gene-J2S48_RS17385	2622.70822913844	4.11552142867999	0.430894382497675	9.55111413805026	1.28308896589992e-21	8.32344564360632e-20
rna-J2S48_RS10600	112.462843385724	6.48500260460523	0.682078276001318	9.5077102332353	1.94905309780363e-21	1.24136963665565e-19
gene-J2S48_RS25900	1405.47392285088	4.80432334061417	0.507397735698015	9.46855494734319	2.83741665405664e-21	1.7749054534215e-19
gene-J2S48_RS02165	348.924948526072	3.3672307454655	0.360432805285126	9.34218721517816	9.43642692568619e-21	5.6026785628269e-19
gene-J2S48_RS06970	317.608090768339	3.48327767785384	0.372827362777769	9.34287025475144	9.37573120385889e-21	5.6026785628269e-19
gene-J2S48_RS07235	1150.54688332681	3.15024464235883	0.337184519419405	9.34279144185863	9.38271486160077e-21	5.6026785628269e-19
gene-J2S48_RS05740	258.531409908873	-4.63034538199172	0.496053162205119	-9.33437327847749	1.01590478744075e-20	5.93119078400826e-19
MSTRG.2974.1	150.068746211415	4.00085486175275	0.431719060700213	9.26726481629903	1.90980421202183e-20	1.09672854995286e-18
gene-J2S48_RS08550	254.838474122172	-3.869607838536	0.420441921222217	-9.20366795795987	3.45935035680313e-20	1.95453295159377e-18
gene-J2S48_RS22865	529.82971583671	3.39075593225159	0.368859497165175	9.19254067825509	3.83670294151977e-20	2.13332863557837e-18
MSTRG.2943.1	840.363716250404	-2.81182274379578	0.306733807229352	-9.16698022038802	4.86455009152719e-20	2.66258108915933e-18
gene-J2S48_RS11120	1467.29937192572	3.11882084018591	0.341986224030823	9.11972652999264	7.53141314443604e-20	4.01154504923118e-18
gene-J2S48_RS01630	456.526929217227	-3.74167280208629	0.410300722626019	-9.11934246213051	7.55814939335592e-20	4.01154504923118e-18
MSTRG.1822.1	8058.70241179595	-4.43234578556116	0.486983587002345	-9.10163279391963	8.89838426869485e-20	4.65239404376687e-18
gene-J2S48_RS17810	3983.95523829754	-3.36658573596455	0.372709116425164	-9.03274319730926	1.67421226491792e-19	8.62465524118745e-18
MSTRG.11.1	963.726347419693	4.36258997484577	0.483778557817182	9.01774149422797	1.92006771508725e-19	9.7478220376096e-18
gene-J2S48_RS13595	2144.70478341828	-2.58090229726615	0.287502735978753	-8.97696603992277	2.78335760234012e-19	1.39287166871392e-17
gene-J2S48_RS17310	421.535020631328	3.7115224984116	0.414138474907374	8.96203256469158	3.18747687034021e-19	1.57263823616926e-17
gene-J2S48_RS18320	6702.95646790425	2.65259563964366	0.297888840394315	8.9046492514873	5.35551108600428e-19	2.60560490753791e-17
gene-J2S48_RS06485	2856.5009314708	-3.68398548339188	0.414105735367002	-8.89624356476718	5.77687253345696e-19	2.73861237462557e-17
gene-J2S48_RS16875	888.33258622183	3.16494774315715	0.355768698084653	8.89608265200462	5.78525023472145e-19	2.73861237462557e-17
gene-J2S48_RS08470	2926.70656742706	-2.51038449302312	0.283043734846893	-8.86924592901185	7.36428768482026e-19	3.43961330132338e-17
gene-J2S48_RS24720	1113.5742223037	5.24038588255692	0.591657057542988	8.85713407073855	8.20977733457358e-19	3.78405921092253e-17
MSTRG.47.1	86590.8945608082	-4.48358189836448	0.506411113106391	-8.85364041650195	8.4709995425107e-19	3.85375472693701e-17
gene-J2S48_RS15180	399.374300894054	2.88620202358029	0.326675411455576	8.8350758042063	1.00030405143537e-18	4.4923911438181e-17
gene-J2S48_RS14405	5419.2952738576	3.00818180699788	0.340875265442946	8.82487558341593	1.09581567564246e-18	4.8590409009817e-17
rna-J2S48_RS10595	510.30743549691	3.53180229266772	0.400917172351755	8.80930660053892	1.25922336680835e-18	5.51382431741208e-17
rna-J2S48_RS16000	287.601096379567	4.26167773567171	0.484602156086225	8.7941782390944	1.44098676883608e-18	6.23182302621334e-17
MSTRG.190.1	2662.44803185715	-4.91187917563235	0.560761828016432	-8.75929660370608	1.96472514199676e-18	8.39320996635933e-17
gene-J2S48_RS25070	638.587042858174	-3.08601244926234	0.353719562185084	-8.72446078525784	2.6745195109383e-18	1.12877612612252e-16
gene-J2S48_RS24730	1423.73707789883	3.75382286158186	0.431972681755056	8.68995429602285	3.62585325892787e-18	1.51206713881242e-16
gene-J2S48_RS06480	8674.62182585647	-5.12440589583389	0.590581313887735	-8.6768845802121	4.06757539016909e-18	1.67631959903086e-16
MSTRG.99.1	339.124252197141	2.930132905757	0.340749462944023	8.59908297562996	8.03555757351854e-18	3.27061119824838e-16
gene-J2S48_RS21205	55.9507247065473	-7.66488668059233	0.891489507008926	-8.59784284652898	8.12284254203851e-18	3.27061119824838e-16
rna-J2S48_RS19430	116.022320865113	4.43374583213808	0.518133736724918	8.55714561295205	1.15696363675043e-17	4.60550411310993e-16
gene-J2S48_RS17785	2230.4327995823	-2.94902867826532	0.345458365709996	-8.53656756062165	1.38267847762666e-17	5.44216034508559e-16
gene-J2S48_RS01875	382.784549659848	3.0883996649226	0.363481070638	8.49672765490012	1.95010258033782e-17	7.59023259880376e-16
gene-J2S48_RS12395	1006.72575684681	-3.31304101108183	0.390021402084209	-8.49451079704214	1.98768316683202e-17	7.65148805869512e-16
MSTRG.20.1	136.141973171486	4.64800840538252	0.547669378831388	8.48688750008334	2.1224505627575e-17	8.06249567836216e-16
gene-J2S48_RS20130	1184.75707526881	2.25251460064376	0.265441921794133	8.48590375408269	2.14048557832624e-17	8.06249567836216e-16
gene-J2S48_RS13420	2582.14855770746	4.41752694143771	0.521648156341983	8.46840324791958	2.48779753886966e-17	9.27101572197917e-16
gene-J2S48_RS07360	873.166713917086	3.78503445366254	0.447921578446692	8.45021681426541	2.90762349187323e-17	1.07214790442441e-15
rna-J2S48_RS10510	240.019628798616	3.63903360507169	0.431569669495405	8.43208840261291	3.39550314182405e-17	1.23900494852184e-15
gene-J2S48_RS20520	716.95490249748	-2.76165516398381	0.329317074527406	-8.38600661064109	5.02935083091759e-17	1.81626968667055e-15
gene-J2S48_RS04535	76797.9591855594	3.33734115369468	0.398274330163551	8.37950352543235	5.31514239046495e-17	1.89989222385701e-15
MSTRG.1329.1	81.4401322335741	7.69934967212076	0.920238899166961	8.36668573681305	5.92614752651156e-17	2.09689846316869e-15
gene-J2S48_RS19520	229.946859493806	3.33626053094826	0.400509851381319	8.33003362948958	8.08193937999349e-17	2.83110336481172e-15
gene-J2S48_RS14735	824.312205026117	2.58795911779048	0.312281887186634	8.28725335659251	1.1589359730536e-16	3.99977314308141e-15
gene-J2S48_RS25940	976.833249897785	-3.81502654033002	0.460381237348001	-8.28666815855974	1.1646499017822e-16	3.99977314308141e-15
gene-J2S48_RS00240	149.881865319161	-4.41816752501635	0.534529504302545	-8.26552601765393	1.39080105091586e-16	4.73007386539637e-15
MSTRG.2270.1	3307.22056561865	-2.64992409166274	0.321159248920926	-8.25112183618038	1.56914473707955e-16	5.28530193652852e-15
gene-J2S48_RS19885	567.678975284511	3.09171294614521	0.374778956272498	8.24943048269031	1.59151156278743e-16	5.30958571851843e-15
gene-J2S48_RS26115	2155.95292976296	-2.50177014266585	0.304651341406093	-8.21191244758399	2.17692990657161e-16	7.19413722898147e-15
gene-J2S48_RS19745	658.168990096526	3.03198802398314	0.369708680598824	8.20101929733479	2.38357261509246e-16	7.80341576698026e-15
gene-J2S48_RS04045	1851.82485121754	3.03573721243541	0.370257762975574	8.19898329217659	2.42428615005383e-16	7.86321702188755e-15
gene-J2S48_RS04250	663.160381804158	2.90646588889398	0.355968739308728	8.16494699657666	3.21576384749613e-16	1.03346979429165e-14
gene-J2S48_RS12575	2030.21638968709	3.6225311185828	0.443919795697263	8.16032795494714	3.34116156682527e-16	1.06400808805354e-14
gene-J2S48_RS07555	1335.67627648912	-2.96320386740932	0.3660357671337	-8.09539431245516	5.70791523974083e-16	1.8013357734065e-14
gene-J2S48_RS08825	290.21239057427	-3.50305109123879	0.433447946009467	-8.08182648802371	6.38038441723645e-16	1.99557916192672e-14
gene-J2S48_RS22375	539.257724609751	-3.04040503617789	0.376338862629755	-8.07890265419935	6.53521677111383e-16	2.02591719904529e-14
gene-J2S48_RS10995	784.886810712286	2.91025547252377	0.36130631456683	8.05481486259899	7.95991982524722e-16	2.44592974981062e-14
gene-J2S48_RS07850	257.112361993786	3.4131536935186	0.425287800840324	8.02551516120276	1.01100768468565e-15	3.07961732126419e-14
gene-J2S48_RS18920	811.765432914284	2.73421272008599	0.341897022511184	7.99718201698159	1.27298989214347e-15	3.8442099932574e-14
gene-J2S48_RS02465	195.783701664888	-3.1305113745737	0.391507669456617	-7.9960409943402	1.28483619217026e-15	3.84682152236959e-14
MSTRG.3408.1	65.7095372161768	7.40872202110868	0.927593585242521	7.98703455799736	1.38223353811025e-15	4.10335939322051e-14
MSTRG.1958.1	1999.43614780857	3.5053967711561	0.439273376686829	7.97998913022039	1.46346177852318e-15	4.30798874803923e-14
gene-J2S48_RS12465	380.498549906595	3.58595742132521	0.449861946103204	7.97123973785181	1.57090431859701e-15	4.54783291573994e-14
gene-J2S48_RS24745	218.569161128019	-2.91160586417094	0.365245491414712	-7.97164080764792	1.56581351528984e-15	4.54783291573994e-14
gene-J2S48_RS12830	249.469276550604	3.04754041904816	0.382603186376714	7.9652771528346	1.64853870117564e-15	4.73346809034285e-14
gene-J2S48_RS25080	5402.70057623347	2.59433608415012	0.326313873175929	7.95043146311898	1.85863044372898e-15	5.29331906047366e-14
MSTRG.2376.1	1334.85307630497	-3.61352559106212	0.454741924311347	-7.94632163404415	1.92131188187492e-15	5.42770606629665e-14
gene-J2S48_RS14750	1344.18851147199	2.8987905721504	0.365337225748086	7.93456118854209	2.11240857051796e-15	5.91981377801954e-14
gene-J2S48_RS20525	727.678832315213	-2.40532408310408	0.303374672042792	-7.92855931877135	2.21702754997908e-15	6.16368849807677e-14
gene-J2S48_RS04195	505.481278248397	-2.92749803356389	0.369517061850902	-7.92249759429274	2.32786595702207e-15	6.42087751767582e-14
gene-J2S48_RS16880	328.703340283209	3.18744422938099	0.402685828723602	7.91546163788349	2.4633734421475e-15	6.7415602873771e-14
gene-J2S48_RS19270	1359.84094311137	2.89910191082985	0.366687006975438	7.90620298969046	2.65358351197782e-15	7.20581631198317e-14
gene-J2S48_RS18915	800.996961524055	2.44395549009857	0.309337810999148	7.90060381627679	2.77555552742257e-15	7.47905462504712e-14
gene-J2S48_RS04030	1634.96182354062	3.65258054139486	0.462519553810406	7.8971375616524	2.85381354990316e-15	7.63122814145859e-14
gene-J2S48_RS21880	2705.52343937425	2.46445269800911	0.312129784321101	7.89560247628861	2.889161744511e-15	7.66722241744092e-14
rna-J2S48_RS24910	63.0834760278	7.3554052862503	0.934926506307854	7.86736201896526	3.62197396174596e-15	9.53968029172639e-14
gene-J2S48_RS21045	492.280597982534	-3.20894131151693	0.409129506186288	-7.84333875458937	4.38722368551997e-15	1.14689884853556e-13
